price_date,ticker,price,price_std
2015-07-15,DUK,74.02,1.7158
2015-07-17,DUK,73.57,1.5424
2015-08-05,DUK,73.98,0.9522
2015-10-06,DUK,73.09,1.3088
2015-10-14,DUK,72.34,0.9762
2015-10-22,DUK,75.06,0.7379
2015-11-19,DUK,68.49,2.1968
2015-11-20,DUK,69.1,1.9699
2015-12-15,DUK,68.84,0.8394
2015-12-30,DUK,72.19,1.6985
2016-01-06,DUK,71.86,0.9327
2016-01-14,DUK,72.37,0.4443
2016-02-08,DUK,79.17,3.1544
2016-03-22,DUK,78.88,1.6589
2016-03-28,DUK,79.48,1.042
2016-03-29,DUK,80.44,1.0547
2016-06-02,DUK,78.94,1.5263
2016-06-28,DUK,83.94,0.869
2016-08-03,DUK,85.15,0.5499
2016-09-26,DUK,82.15,1.5106
2016-09-29,DUK,80.31,1.3794
2016-10-27,DUK,78.42,0.8197
2016-11-22,DUK,73.88,2.0612
2016-12-01,DUK,72.75,1.0728
2017-01-31,DUK,78.54,0.3992
2017-03-06,DUK,81.87,1.9036
2017-03-07,DUK,81.69,1.794
2017-03-08,DUK,80.32,1.4033
2017-03-17,DUK,81.84,0.7726
2017-03-20,DUK,81.18,0.7088
2017-05-08,DUK,82.92,0.3237
2017-05-18,DUK,83.25,0.5078
2017-06-01,DUK,86.4,1.1058
2017-07-11,DUK,83.18,1.4221
2017-07-12,DUK,83.98,1.2993
2017-07-14,DUK,83.84,1.0734
2017-07-19,DUK,84.35,0.4133
2017-08-16,DUK,86.31,0.5653
2017-08-22,DUK,86.55,0.3076
2017-08-29,DUK,87.5,0.5912
2017-08-30,DUK,87.28,0.6069
2017-09-14,DUK,87.5,0.3691
2017-09-21,DUK,85.16,0.9399
2017-10-17,DUK,87.51,1.3286
2017-10-30,DUK,88.11,0.5226
2018-01-11,DUK,79.28,1.5854
2018-01-22,DUK,76.95,2.2876
2013-03-07,DVA,59.455,1.3309
2013-03-28,DVA,59.295,0.2694
2013-06-07,DVA,63.21,0.5988
2013-06-13,DVA,64.93,1.0906
2013-06-21,DVA,61.75,1.35
2013-07-05,DVA,57.28,2.5466
2013-07-11,DVA,60.255,1.7859
2013-07-12,DVA,60.615,1.7013
2013-08-13,DVA,57.325,0.7347
2013-08-15,DVA,56.65,0.7414
2013-08-27,DVA,54.37,1.0034
2013-09-16,DVA,56.61,0.9292
2013-09-27,DVA,56.98,1.1768
2013-09-30,DVA,56.9,1.1049
2013-10-04,DVA,58.37,0.6397
2013-11-26,DVA,60.58,1.6292
2013-11-29,DVA,59.55,1.4205
2013-12-10,DVA,61.44,1.8656
2013-12-20,DVA,62.64,1.8151
